FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Class
44,2017-07-05T23:35:00.000Z,Falcon 9,6761.0,GTO,KSC LC 39A,True,1
45,2017-08-14T16:31:00.000Z,Falcon 9,2910.0,ISS,KSC LC 39A,True,1
46,2017-08-24T18:50:00.000Z,Falcon 9,475.0,SSO,VAFB SLC 4E,True,1
47,2017-09-07T13:50:00.000Z,Falcon 9,4990.0,LEO,KSC LC 39A,True,1
48,2017-10-09T12:37:00.000Z,Falcon 9,9600.0,PO,VAFB SLC 4E,True,1
49,2017-10-11T22:53:00.000Z,Falcon 9,5200.0,GTO,KSC LC 39A,True,1
50,2017-10-30T19:34:00.000Z,Falcon 9,3700.0,GTO,KSC LC 39A,True,1
51,2017-12-15T15:36:00.000Z,Falcon 9,2205.0,ISS,CCSFS SLC 40,True,1
52,2017-12-23T01:27:23.000Z,Falcon 9,9600.0,PO,VAFB SLC 4E,True,1
53,2018-01-08T01:00:00.000Z,Falcon 9,0.0,LEO,CCSFS SLC 40,True,1
54,2018-01-31T21:25:00.000Z,Falcon 9,4230.0,GTO,CCSFS SLC 40,True,1
56,2018-02-22T14:17:00.000Z,Falcon 9,2150.0,SSO,VAFB SLC 4E,True,1
57,2018-03-06T05:33:00.000Z,Falcon 9,6092.0,GTO,CCSFS SLC 40,True,1
58,2018-03-30T14:13:51.000Z,Falcon 9,9600.0,PO,VAFB SLC 4E,True,1
59,2018-04-02T20:30:41.000Z,Falcon 9,2760.0,ISS,CCSFS SLC 40,True,1
60,2018-04-18T22:51:00.000Z,Falcon 9,350.0,HEO,CCSFS SLC 40,True,1
61,2018-05-11T20:14:00.000Z,Falcon 9,3750.0,GTO,KSC LC 39A,True,1
62,2018-05-22T19:47:58.000Z,Falcon 9,5460.0,PO,VAFB SLC 4E,True,1
63,2018-06-04T04:45:00.000Z,Falcon 9,5383.85,GTO,CCSFS SLC 40,True,1
64,2018-06-29T09:42:00.000Z,Falcon 9,2410.0,ISS,CCSFS SLC 40,True,1
65,2018-07-22T05:50:00.000Z,Falcon 9,7076.0,GTO,CCSFS SLC 40,True,1
66,2018-07-25T11:39:26.000Z,Falcon 9,9600.0,PO,VAFB SLC 4E,True,1
67,2018-08-07T05:18:00.000Z,Falcon 9,5800.0,GTO,CCSFS SLC 40,True,1
68,2018-09-10T04:45:00.000Z,Falcon 9,7060.0,GTO,CCSFS SLC 40,True,1
69,2018-10-08T02:22:00.000Z,Falcon 9,2800.0,SSO,VAFB SLC 4E,True,1
70,2018-11-15T20:46:00.000Z,Falcon 9,3000.0,GTO,KSC LC 39A,True,1
71,2018-12-03T18:34:00.000Z,Falcon 9,4000.0,SSO,VAFB SLC 4E,True,1
72,2018-12-05T18:16:00.000Z,Falcon 9,2573.0,ISS,CCSFS SLC 40,True,1
73,2018-12-23T13:51:00.000Z,Falcon 9,4400.0,MEO,CCSFS SLC 40,True,1
74,2019-01-11T15:31:00.000Z,Falcon 9,9600.0,PO,VAFB SLC 4E,True,1
75,2019-02-22T01:45:00.000Z,Falcon 9,5645.0,GTO,CCSFS SLC 40,True,1
76,2019-03-02T07:45:00.000Z,Falcon 9,12259.0,ISS,KSC LC 39A,True,1
78,2019-05-04T06:48:00.000Z,Falcon 9,2482.0,ISS,CCSFS SLC 40,True,1
79,2019-05-24T02:30:00.000Z,Falcon 9,13200.0,VLEO,CCSFS SLC 40,True,1
80,2019-06-12T14:17:00.000Z,Falcon 9,1425.0,SSO,VAFB SLC 4E,True,1
82,2019-07-25T22:01:00.000Z,Falcon 9,2227.7,ISS,CCSFS SLC 40,True,1
83,2019-08-06T22:52:00.000Z,Falcon 9,6500.0,GTO,CCSFS SLC 40,True,1
84,2019-11-11T14:56:00.000Z,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True,1
85,2019-12-05T17:29:23.000Z,Falcon 9,5000.0,ISS,CCSFS SLC 40,True,1
86,2019-12-17T00:10:00.000Z,Falcon 9,6800.0,GTO,CCSFS SLC 40,True,1
87,2020-01-07T02:19:00.000Z,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True,1
88,2020-01-19T14:00:00.000Z,Falcon 9,0.0,SO,KSC LC 39A,True,1
89,2020-01-29T14:06:00.000Z,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True,1
90,2020-02-17T15:05:55.000Z,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True,1
91,2020-03-07T04:50:31.000Z,Falcon 9,1977.0,ISS,CCSFS SLC 40,True,1
92,2020-03-18T12:16:00.000Z,Falcon 9,15600.0,VLEO,KSC LC 39A,True,1
93,2020-04-22T19:30:00.000Z,Falcon 9,15600.0,VLEO,KSC LC 39A,True,1
94,2020-05-30T19:22:00.000Z,Falcon 9,9525.0,ISS,KSC LC 39A,True,1
95,2020-06-04T01:25:00.000Z,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True,1
96,2020-06-13T09:21:00.000Z,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True,1
97,2020-06-30T19:55:00.000Z,Falcon 9,3880.0,MEO,CCSFS SLC 40,True,1
98,2020-07-20T21:30:00.000Z,Falcon 9,0.0,GEO,CCSFS SLC 40,True,1
99,2020-08-07T05:12:00.000Z,Falcon 9,15712.0,VLEO,KSC LC 39A,True,1
100,2020-08-18T14:31:00.000Z,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True,1
101,2020-08-30T23:18:00.000Z,Falcon 9,1600.0,SSO,CCSFS SLC 40,True,1
102,2020-09-03T12:46:00.000Z,Falcon 9,15600.0,VLEO,KSC LC 39A,True,1
103,2020-10-06T11:29:00.000Z,Falcon 9,15600.0,VLEO,KSC LC 39A,True,1
104,2020-10-18T12:25:00.000Z,Falcon 9,15600.0,VLEO,KSC LC 39A,True,1
105,2020-10-24T15:31:00.000Z,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True,1
106,2020-11-05T23:24:00.000Z,Falcon 9,3681.0,MEO,CCSFS SLC 40,True,1
107,2020-11-16T00:27:00.000Z,Falcon 9,0.0,ISS,KSC LC 39A,True,1
108,2020-11-21T17:17:00.000Z,Falcon 9,1440.0,PO,VAFB SLC 4E,True,1
109,2020-11-25T02:13:00.000Z,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True,1
110,2020-12-06T16:17:00.000Z,Falcon 9,2972.0,ISS,KSC LC 39A,True,1
111,2020-12-13T17:30:00.000Z,Falcon 9,7000.0,GTO,CCSFS SLC 40,True,1
112,2020-12-19T14:00:00.000Z,Falcon 9,0.0,,KSC LC 39A,True,1
113,2021-01-08T02:15:00.000Z,Falcon 9,3500.0,GTO,CCSFS SLC 40,True,1
114,2021-01-20T13:02:00.000Z,Falcon 9,15600.0,VLEO,KSC LC 39A,True,1
115,2021-01-24T15:00:00.000Z,Falcon 9,0.0,SSO,CCSFS SLC 40,True,1
116,2021-02-04T06:19:00.000Z,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True,1
117,2021-02-16T03:59:00.000Z,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True,1
118,2021-03-04T08:24:00.000Z,Falcon 9,15600.0,VLEO,KSC LC 39A,True,1
119,2021-03-11T08:13:00.000Z,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True,1
120,2021-03-14T10:01:00.000Z,Falcon 9,15600.0,VLEO,KSC LC 39A,True,1
121,2021-03-24T08:28:00.000Z,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True,1
122,2021-04-07T16:34:00.000Z,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True,1
123,2021-04-23T09:49:00.000Z,Falcon 9,0.0,ISS,KSC LC 39A,True,1
124,2021-04-29T03:44:00.000Z,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True,1
125,2021-05-04T19:01:00.000Z,Falcon 9,15600.0,VLEO,KSC LC 39A,True,1
126,2021-05-09T06:42:00.000Z,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True,1
127,2021-05-15T22:54:00.000Z,Falcon 9,13632.0,VLEO,KSC LC 39A,True,1
128,2021-05-26T18:59:00.000Z,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True,1
129,2021-06-03T17:29:00.000Z,Falcon 9,3328.0,ISS,KSC LC 39A,True,1
130,2021-06-06T04:26:00.000Z,Falcon 9,7000.0,GTO,CCSFS SLC 40,True,1
131,2021-06-17T16:09:00.000Z,Falcon 9,3681.0,MEO,CCSFS SLC 40,True,1
132,2021-06-30T19:31:00.000Z,Falcon 9,0.0,SSO,CCSFS SLC 40,True,1
133,2021-08-29T07:14:00.000Z,Falcon 9,0.0,ISS,KSC LC 39A,True,1
134,2021-09-14T03:55:00.000Z,Falcon 9,15600.0,PO,VAFB SLC 4E,True,1
135,2021-09-16T00:02:00.000Z,Falcon 9,0.0,LEO,KSC LC 39A,True,1
136,2021-11-11T02:03:00.000Z,Falcon 9,12519.0,ISS,KSC LC 39A,True,1
137,2021-11-13T12:40:00.000Z,Falcon 9,13260.0,LEO,CCSFS SLC 40,True,1
138,2021-11-24T06:20:00.000Z,Falcon 9,670.0,TLI,VAFB SLC 4E,True,1
139,2021-12-01T23:20:00.000Z,Falcon 9,13260.0,PO,CCSFS SLC 40,True,1
140,2021-12-09T06:00:00.000Z,Falcon 9,330.0,LEO,KSC LC 39A,True,1
141,2021-12-18T12:41:40.000Z,Falcon 9,13260.0,PO,VAFB SLC 4E,True,1
142,2021-12-19T03:58:00.000Z,Falcon 9,3500.0,GTO,CCSFS SLC 40,True,1
143,2021-12-21T10:06:00.000Z,Falcon 9,0.0,ISS,KSC LC 39A,True,1
144,2022-01-06T21:49:00.000Z,Falcon 9,13260.0,VLEO,KSC LC 39A,True,1
145,2022-01-13T15:25:00.000Z,Falcon 9,0.0,LEO,CCSFS SLC 40,True,1
146,2022-01-19T00:04:00.000Z,Falcon 9,13260.0,VLEO,KSC LC 39A,True,1
147,2022-01-31T23:11:12.000Z,Falcon 9,2240.0,SSO,CCSFS SLC 40,True,1
148,2022-02-02T20:18:00.000Z,Falcon 9,0.0,LEO,VAFB SLC 4E,True,1
149,2022-02-03T18:13:00.000Z,Falcon 9,13260.0,VLEO,KSC LC 39A,True,1
150,2022-02-21T14:44:00.000Z,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True,1
151,2022-02-25T17:12:00.000Z,Falcon 9,13260.0,VLEO,VAFB SLC 4E,True,1
152,2022-03-03T14:35:00.000Z,Falcon 9,13260.0,VLEO,KSC LC 39A,True,1
153,2022-03-09T13:45:00.000Z,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True,1
154,2022-03-19T03:24:00.000Z,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True,1
155,2022-04-01T16:24:00.000Z,Falcon 9,0.0,SSO,CCSFS SLC 40,True,1
156,2022-04-08T15:17:00.000Z,Falcon 9,0.0,ISS,KSC LC 39A,True,1
157,2022-04-17T13:13:00.000Z,Falcon 9,0.0,LEO,VAFB SLC 4E,True,1
158,2022-04-21T15:16:00.000Z,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True,1
159,2022-04-27T07:52:00.000Z,Falcon 9,0.0,ISS,KSC LC 39A,True,1
160,2022-04-29T21:27:00.000Z,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True,1
161,2022-05-06T09:42:00.000Z,Falcon 9,13260.0,VLEO,KSC LC 39A,True,1
162,2022-05-13T22:07:00.000Z,Falcon 9,13260.0,VLEO,VAFB SLC 4E,True,1
163,2022-05-14T20:40:00.000Z,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True,1
164,2022-05-18T10:40:00.000Z,Falcon 9,13260.0,VLEO,KSC LC 39A,True,1
165,2022-05-25T18:27:00.000Z,Falcon 9,0.0,SSO,CCSFS SLC 40,True,1
166,2022-06-08T21:04:00.000Z,Falcon 9,3938.0,GEO,CCSFS SLC 40,True,1
167,2022-06-01T17:08:50.000Z,Falcon 9,13260.0,VLEO,KSC LC 39A,True,1
168,2022-06-18T14:19:00.000Z,Falcon 9,2200.0,SSO,VAFB SLC 4E,True,1
169,2022-06-19T04:27:00.000Z,Falcon 9,700.0,LEO,CCSFS SLC 40,True,1
170,2022-06-29T21:04:00.000Z,Falcon 9,3500.0,MEO,CCSFS SLC 40,True,1
171,2022-07-07T13:11:00.000Z,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True,1
172,2022-07-11T01:39:00.000Z,Falcon 9,13260.0,VLEO,VAFB SLC 4E,,0
173,2022-07-15T00:44:00.000Z,Falcon 9,0.0,ISS,KSC LC 39A,True,1
174,2022-07-17T14:50:00.000Z,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True,1
175,2022-07-21T17:13:00.000Z,Falcon 9,13260.0,VLEO,VAFB SLC 4E,True,1
176,2022-07-24T00:00:00.000Z,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True,1
177,2022-08-04T23:08:00.000Z,Falcon 9,678.0,TLI,CCSFS SLC 40,True,1
178,2022-08-09T22:57:00.000Z,Falcon 9,13260.0,VLEO,KSC LC 39A,True,1
179,2022-08-12T21:30:00.000Z,Falcon 9,13260.0,VLEO,VAFB SLC 4E,True,1
180,2022-08-19T19:24:00.000Z,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True,1
181,2022-08-28T02:22:00.000Z,Falcon 9,13260.0,VLEO,KSC LC 39A,True,1
182,2022-08-31T05:40:00.000Z,Falcon 9,13260.0,VLEO,VAFB SLC 4E,True,1
183,2022-09-05T02:09:00.000Z,Falcon 9,13440.0,VLEO,CCSFS SLC 40,True,1
184,2022-09-11T01:10:00.000Z,Falcon 9,14760.0,VLEO,KSC LC 39A,True,1
185,2022-09-17T01:05:00.000Z,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True,1
186,2022-09-24T23:30:00.000Z,Falcon 9,13260.0,VLEO,CCSFS SLC 40,True,1
187,2022-10-05T16:00:00.000Z,Falcon 9,0.0,ISS,KSC LC 39A,True,1
188,2022-10-20T14:50:00.000Z,Falcon 9,13260.0,VLEO,CCSFS SLC 40,,0
188,2022-10-08T23:05:00.000Z,Falcon 9,0.0,,CCSFS SLC 40,,0
188,2022-10-15T05:22:00.000Z,Falcon 9,0.0,,CCSFS SLC 40,,0
189,2022-11-03T03:24:00.000Z,Falcon 9,0.0,,CCSFS SLC 40,,0
191,2022-11-08T00:00:00.000Z,Falcon 9,0.0,,CCSFS SLC 40,,0
192,2022-11-15T00:00:00.000Z,Falcon 9,0.0,,CCSFS SLC 40,,0
193,2022-11-22T00:00:00.000Z,Falcon 9,0.0,,CCSFS SLC 40,,0
194,2022-11-18T22:00:00.000Z,Falcon 9,0.0,,KSC LC 39A,,0
195,2022-11-01T00:00:00.000Z,Falcon 9,0.0,,CCSFS SLC 40,,0
196,2022-11-01T00:00:00.000Z,Falcon 9,5100.0,MEO,CCSFS SLC 40,,0
197,2022-12-05T00:00:00.000Z,Falcon 9,0.0,,VAFB SLC 4E,,0
198,2022-11-01T00:00:00.000Z,Falcon 9,0.0,,CCSFS SLC 40,,0
198,2022-12-01T00:00:00.000Z,Falcon 9,0.0,,CCSFS SLC 40,,0
199,2022-12-01T00:00:00.000Z,Falcon 9,0.0,PO,VAFB SLC 4E,,0
200,2022-12-01T00:00:00.000Z,Falcon 9,0.0,SSO,CCSFS SLC 40,,0
203,2022-12-01T00:00:00.000Z,Falcon 9,5100.0,MEO,CCSFS SLC 40,,0
